iata,name,lat,lon,country,continent,region
FRW,Phillip Gaonwe Matante International Airport,-21.1592,27.4688,BW,AF,OTHER
FRZ,Fritzlar Army Airfield,51.1146,9.286,DE,EU,EU
FSC,Figari Sud-Corse Airport,41.5018,9.0971,FR,EU,EU
FSD,Sioux Falls Regional Airport,43.5855,-96.7412,US,NA,OTHER
FSI,Henry Post Army Air Field,34.6498,-98.4022,US,NA,OTHER
FSM,Fort Smith Regional Airport,35.3366,-94.3674,US,NA,OTHER
FSP,Saint-Pierre Pointe-Blanche Airport,46.7627,-56.175,PM,NA,EU
FST,Fort Stockton Pecos County Airport,30.9157,-102.916,US,NA,OTHER
FSZ,Mount Fuji Shizuoka Airport,34.795,138.191,JP,AS,OTHER
FTE,El Calafate - Commander Armando Tola International Airport,-50.282,-72.0539,AR,SA,OTHER
FTK,Godman Army Air Field,37.9071,-85.9721,US,NA,OTHER
FTU,Tôlanaro Airport,-25.0381,46.9561,MG,AF,OTHER
FTW,Fort Worth Meacham International Airport,32.8199,-97.3608,US,NA,OTHER
FTX,Owando Airport,-0.5246,15.9378,CG,AF,OTHER
FTY,Fulton County Airport Brown Field,33.7791,-84.5214,US,NA,OTHER
FUE,Fuerteventura Airport,28.4527,-13.8638,ES,AF,EU
FUG,Fuyang Xiguan Airport,32.8822,115.7344,CN,AS,OTHER
FUJ,Fukue Airport,32.6663,128.833,JP,AS,OTHER
FUK,Fukuoka Airport,33.5859,130.451,JP,AS,OTHER
FUN,Funafuti International Airport,-8.5239,179.197,TV,OC,OTHER
FUO,Foshan Shadi Airport,23.0825,113.0708,CN,AS,OTHER
FWA,Fort Wayne International Airport,40.9789,-85.1945,US,NA,OTHER
FWH,NAS Fort Worth JRB / Carswell Field,32.7692,-97.4415,US,NA,OTHER
FXE,Fort Lauderdale Executive Airport,26.1973,-80.1707,US,NA,OTHER
FYJ,Fuyuan Dongji Airport,48.1972,134.363,CN,AS,OTHER
FYN,Fuyun Koktokay Airport,46.8042,89.512,CN,AS,OTHER
FYT,Faya-Largeau Airport,17.9171,19.1111,TD,AF,OTHER
FYU,Fort Yukon Airport,66.5717,-145.25,US,NA,OTHER
FYV,Drake Field,36.0051,-94.1701,US,NA,OTHER
